ba;wt.product;Produkte im Warenkorb, Produktname;E-Commerce > Produkte;Products in shopping basket, Product name;E-Commerce > Products
p;;Version Webtrekkpixel |Name der Seite | Javascript aktiviert | Bildschirmaufl”sung | Farbtiefe in Bit | Cookies eingeschaltet | Timestamp des Client (in Millisekunden) | Referrer (ansonsten die codierte URL) | Innere Aufl”sung des Browserfensters | Java installiert;- | Navigation > Seiten > Seiten | Besucher > Technik > JavaScript | Besucher > Technik > Bildschirmaufl”sung | Besucher > Technik > Farbtiefe | Besucher > Technik > Cookie | - | Marketing > Referrer | Besucher > Technik > Browseraufl”sung | Besucher > Technik > Java;Pixel version | Name of the page | Javascript activated | Screen resolution | Color depth in bit | Cookies activated | Time stamp of the client (in milliseconds) | Referrer (otherwise the coded URL) | Visible area of the browser window | Java installed;- | Navigation > Pages > Pages | Visitors > Technology > Javascript | Visitors > Technology > Javascript | Visitors > Technology > Screen resolution | Visitors > Technology > Colour depth | Visitors > Technology > Cookie | - | Marketing > Referrers | Visitors > Technology > Browser resolution | Visitors > Technology > Java
pu;;Page-URL;"Fr Feature ""Dataprofiles"" genutzt";Page URL;"Used for the feature ""Dataprofiles"""
qn;wt.productQuantity;Anzahl der Produkte;"Metriken ""Anzahl Produktansichten"", ""Anzahl in den Warenkorb gelegte Produkte"", ""Anzahl gekaufte Produkte""";Number of products;"Metrics ""Qty Product Views"", ""Qty Product Added to Cart"", ""Qty Purchased Products"""
st;wt.productStatus;Status des Warenkorbes [ add, conf, view ], Status des Warenkorbes;"Metriken ""Anzahl Produktansichten"", ""Anzahl in den Warenkorb gelegte Produkte"", ""Anzahl gekaufte Produkte""";Status of the shopping basket [ add, conf, view ], Status of the shopping cart;"Metrics ""Qty Product Views"", ""Qty Product Added to Cart"", ""Qty Purchased Products"""
tb;-wird automatisch ausgelesen-;Markierung des Tab-Browsing Requests;;Marking the tabbed browsing request;
tz;-wird automatisch ausgelesen-;Zeitzone;;Timezone;
uc;wt.urmCategory;Kunden Parameter [uc2, uc3, ...], URM-Kategorie;Besucher > URM-Kategorien;Customer parameter [uc2, uc3, ...], URM category;Visitors > URM Categories
uc700;;URM - Email;Besucher > URM-Kategorien;URM - Email;Visitors > URM Categories
uc701;wt.emailRID;E-Mail Receiver-ID, URM - Email Receiver-ID;Besucher > URM-Kategorien;E-mail receiver ID, URM - Email Receiver-ID;Visitors > URM Categories
uc702;wt.emailOptin;E-Mail Opt-In [ 1 = yes, 2 = no ], URM - Email-Optin;Besucher > URM-Kategorien;E-mail opt-in [ 1 = yes, 2 = no ], URM - Email-Optin;Visitors > URM Categories
uc703;;URM - Vorname;Besucher > URM-Kategorien;URM - First Name;Visitors > URM Categories
uc704;;URM - Nachname;Besucher > URM-Kategorien;URM - Last Name;Visitors > URM Categories
uc705;;URM - Telefon;Besucher > URM-Kategorien;URM - Telephone;Visitors > URM Categories
